,0
2021-05-25,4.1699983887451575
2021-05-26,1.4187305629517535
2021-05-27,3.9741390042212243
2021-05-28,2.575348150465656
2021-05-29,2.3317293611169525
2021-05-30,3.154250106108927
2021-05-31,2.570681304754692
2021-06-01,1.4755690962416768
2021-06-02,2.8016463100210784
2021-06-03,2.8580316114818993
2021-06-04,1.3673469708926222
2021-06-05,2.928230620890818
2021-06-06,0.6451582621259166
2021-06-07,2.463029985488691
2021-06-08,1.968483614347926
2021-06-09,0.679666063576857
2021-06-10,2.0590914752011784
2021-06-11,1.0962917996647703
2021-06-12,-0.18967096798080885
2021-06-13,3.353167377923901
2021-06-14,2.736004113290243
2021-06-15,2.772889422968195
2021-06-16,-0.2831165169489096
2021-06-17,1.107391198606727
2021-06-18,1.890947305722668
2021-06-19,2.1626837586847416
2021-06-20,2.047339550399765
2021-06-21,0.680191864868311
2021-06-22,2.336208152055188
2021-06-23,4.157805987789274
2021-06-24,2.993442778500355
2021-06-25,3.8990436970578664
2021-06-26,1.23216476734089
2021-06-27,2.0056603489805975
2021-06-28,1.8317632950465048
2021-06-29,1.9368837638886722
2021-06-30,1.9685737053845667
2021-07-01,3.4588013940122466
2021-07-02,3.381514676020143
2021-07-03,3.1020367649953577
2021-07-04,2.7557215082428366
2021-07-05,2.433298649033282
2021-07-06,3.4706211370991635
2021-07-07,2.40072988313908
2021-07-08,0.995385008636926
2021-07-09,3.3070255572330955
2021-07-10,2.8547921643169825
2021-07-11,0.975359383898263
2021-07-12,1.8965036288822112
2021-07-13,2.620419639836923
2021-07-14,3.7710661886906625
2021-07-15,2.65590517051734
2021-07-16,2.4260736907503713
2021-07-17,2.707703486746481
2021-07-18,1.0377635103730363
2021-07-19,3.8970177925708382
2021-07-20,4.6005174915173885
2021-07-21,1.3339779481482612
2021-07-22,1.159388166108759
2021-07-23,1.308485003248245
2021-07-24,2.6633063603592637
2021-07-25,1.120750663036055
2021-07-26,2.1375499390217527
2021-07-27,1.6510894417370778
2021-07-28,0.8678987745335012
2021-07-29,0.8958317249225889
2021-07-30,2.1379902787946
2021-07-31,1.5432625021836248
2021-08-01,4.809856358931137
2021-08-02,2.8659189278878263
2021-08-03,2.175172000332343
2021-08-04,0.4780398222835709
2021-08-05,0.6600055252073573
2021-08-06,1.7084373712448686
2021-08-07,1.9939710418095786
2021-08-08,1.5894507930376818
2021-08-09,3.6731265012464775
2021-08-10,0.9664182409192044
2021-08-11,1.4131236953373614
2021-08-12,1.5965417885231497
2021-08-13,1.6758981502601338
2021-08-14,0.4465613143337619
2021-08-15,3.4125770273408573
2021-08-16,2.0411841159677575
2021-08-17,3.347964727297183
2021-08-18,0.8816315366764389
2021-08-19,1.1803354221486928
2021-08-20,2.139876329583826
2021-08-21,1.3529100529365998
2021-08-22,2.3689579860205723
2021-08-23,1.8417056828106084
2021-08-24,2.7224204765891704
2021-08-25,2.53947829672454
2021-08-26,2.2524098851126606
2021-08-27,3.817859677714311
2021-08-28,2.0123104490767125
2021-08-29,1.6079979642471187
2021-08-30,3.935904759471139
2021-08-31,2.702924754914103
2021-09-01,2.0150996539966552
2021-09-02,2.0899323023362664
2021-09-03,3.2812477621302305
2021-09-04,3.0856259931217664
2021-09-05,2.8704485235755723
2021-09-06,1.996718917951839
2021-09-07,1.218004328578219
2021-09-08,2.088978557259994
2021-09-09,0.6241797768276895
2021-09-10,2.0541198403211847
2021-09-11,2.129009754331724
2021-09-12,0.8600699336566806
2021-09-13,1.8954586170457155
2021-09-14,1.2799988534167603
2021-09-15,3.8353743812330716
2021-09-16,1.441342609332495
2021-09-17,1.3616853090445504
2021-09-18,1.6786771219146548
2021-09-19,0.5271131342211615
2021-09-20,1.4097901890016635
2021-09-21,1.7469677007944873
2021-09-22,2.1194234241198733
2021-09-23,1.504916714495407
2021-09-24,2.855894148231678
2021-09-25,1.5326741861059854
2021-09-26,1.3580563497608835
2021-09-27,3.3754447518026316
2021-09-28,-0.027828853862597924
2021-09-29,2.3655211019753426
2021-09-30,1.413589286013349
2021-10-01,1.0945975574087359
2021-10-02,0.9929261514100505
2021-10-03,1.5200218842390871
2021-10-04,0.9564673282096718
2021-10-05,0.157310150218966
2021-10-06,1.2306673363484968
2021-10-07,3.7761091158099025
2021-10-08,1.529947808290911
2021-10-09,1.8161394412839564
2021-10-10,-0.16754111092809776
2021-10-11,2.2224600685257925
2021-10-12,0.9728145809667079
2021-10-13,2.388011672683744
2021-10-14,0.41790904724783773
2021-10-15,1.8155007636340337
2021-10-16,4.582661934422393
2021-10-17,1.765575045935848
2021-10-18,1.1406467121560948
2021-10-19,3.462475944686453
2021-10-20,2.0655758420819508
2021-10-21,4.184161132417744
2021-10-22,3.031519426691019
2021-10-23,1.7929894490580975
2021-10-24,2.286415115178733
2021-10-25,1.747042412669089
2021-10-26,0.6845895405144764
2021-10-27,0.043537519827436144
2021-10-28,1.3523398438880476
2021-10-29,1.6019027082660393
2021-10-30,1.8093783854569456
2021-10-31,1.3912887393546804
2021-11-01,2.365720388262076
2021-11-02,3.344534146781778
2021-11-03,1.612817514254461
2021-11-04,0.9489805772303546
2021-11-05,0.3324798062766787
2021-11-06,2.452933800211175
2021-11-07,-0.08560893349803633
2021-11-08,1.7114027320025664
2021-11-09,2.0701003370656896
2021-11-10,1.6884887930371504
2021-11-11,2.25716551989512
2021-11-12,2.4024557908141566
2021-11-13,2.2206663515036085
2021-11-14,2.6379335061005627
2021-11-15,2.7853958245641577
2021-11-16,2.5017208619430726
2021-11-17,0.8875857352796932
2021-11-18,2.2292720024924138
2021-11-19,3.3582664016059893
2021-11-20,1.6606604726489946
2021-11-21,1.7749808285062396
2021-11-22,4.354410629063471
2021-11-23,2.901993832755817
