,0
2021-05-25,16719.26532250583
2021-05-26,16340.87614040624
2021-05-27,17753.35425305032
2021-05-28,16474.29677765204
2021-05-29,12340.601850529989
2021-05-30,8151.438188330598
2021-05-31,23008.05217946062
2021-06-01,22364.96913506893
2021-06-02,9990.082820377935
2021-06-03,18915.644147617477
2021-06-04,7178.650133983854
2021-06-05,24440.512522718505
2021-06-06,18203.226295179917
2021-06-07,22925.928699863074
2021-06-08,15582.082159231892
2021-06-09,10005.028292076988
2021-06-10,20529.124473290434
2021-06-11,23679.582830248008
2021-06-12,12762.820101224635
2021-06-13,23125.01233888654
2021-06-14,14291.71622634574
2021-06-15,15597.39309313389
2021-06-16,6714.385053023805
2021-06-17,12605.42642457481
2021-06-18,18646.3819323604
2021-06-19,13397.20547197008
2021-06-20,17058.61093081503
2021-06-21,13821.249082978466
2021-06-22,12599.298777213451
2021-06-23,-3.9873541288343404
2021-06-24,9783.871970284195
2021-06-25,16696.08011666054
2021-06-26,20670.410967630283
2021-06-27,16596.22434290007
2021-06-28,11702.75290202434
2021-06-29,19867.10072061269
2021-06-30,10276.236794459215
2021-07-01,17721.713451729633
2021-07-02,14547.21655671944
2021-07-03,6923.504257388851
2021-07-04,19072.145330063548
2021-07-05,13832.322075660068
2021-07-06,11380.414061046355
2021-07-07,12184.937543990429
2021-07-08,15864.293002158614
2021-07-09,8469.72700665406
2021-07-10,12855.222040490225
2021-07-11,8449.877873970898
2021-07-12,19102.27006823811
2021-07-13,17586.33401103755
2021-07-14,14699.337999587267
2021-07-15,8584.701461044939
2021-07-16,17002.73554806943
2021-07-17,23223.199526552533
2021-07-18,21836.58957875264
2021-07-19,12000.721524727089
2021-07-20,19910.35310763587
2021-07-21,16673.332923481776
2021-07-22,20311.365135165677
2021-07-23,12480.794700386885
2021-07-24,12192.767055856635
2021-07-25,11289.800189416505
2021-07-26,24687.963859676576
2021-07-27,22318.73763716563
2021-07-28,16760.738177401734
2021-07-29,17362.39869392643
2021-07-30,14379.901974726003
2021-07-31,12844.021024576778
2021-08-01,13952.700741242876
2021-08-02,16391.295461452195
2021-08-03,9165.58666233664
2021-08-04,9747.64172597543
2021-08-05,20348.261795973645
2021-08-06,14547.705866357825
2021-08-07,22225.862803852277
2021-08-08,19095.40774314283
2021-08-09,15857.223542900916
2021-08-10,15640.678697750991
2021-08-11,18425.215083375915
2021-08-12,4905.37645860118
2021-08-13,18474.429772170086
2021-08-14,14714.347944805668
2021-08-15,16288.783335538083
2021-08-16,15976.425484495396
2021-08-17,21753.236270284113
2021-08-18,16241.654774893053
2021-08-19,15687.026633513735
2021-08-20,19831.52945072497
2021-08-21,10805.815508107895
2021-08-22,11125.073466267759
2021-08-23,4839.015778158282
2021-08-24,15400.226348441589
2021-08-25,23116.369419879265
2021-08-26,13548.82074262705
2021-08-27,8725.522826171942
2021-08-28,21533.619355080566
2021-08-29,7344.327008834734
2021-08-30,23966.030928723987
2021-08-31,15327.24416853638
2021-09-01,11178.858461040869
2021-09-02,9409.809482692166
2021-09-03,13175.827897720288
2021-09-04,13465.894960569667
2021-09-05,20423.26470460058
2021-09-06,8466.91406907664
2021-09-07,6076.659952740456
2021-09-08,27984.718951807776
2021-09-09,12782.970772414708
2021-09-10,9873.398522201845
2021-09-11,24538.731133780384
2021-09-12,18180.884604098275
2021-09-13,13479.714014651438
2021-09-14,16434.01368800034
2021-09-15,11632.800551902541
2021-09-16,19434.44130542601
2021-09-17,11611.624779038859
2021-09-18,10181.296495110952
2021-09-19,16551.703455334078
2021-09-20,8996.046791254714
2021-09-21,16197.195047500547
2021-09-22,17013.634372971865
2021-09-23,12101.580723860774
2021-09-24,8814.117849433418
2021-09-25,22155.232889047726
2021-09-26,18221.958448505295
2021-09-27,15955.211724114688
2021-09-28,11177.99960780212
2021-09-29,15718.507625444541
2021-09-30,13951.084763822622
2021-10-01,9209.668026739007
2021-10-02,13361.756897074561
2021-10-03,25187.48868315971
2021-10-04,21125.045106318186
2021-10-05,18094.503779432885
2021-10-06,11870.850864230628
2021-10-07,22286.997700682525
2021-10-08,18685.357028721217
2021-10-09,11838.311937186829
2021-10-10,2788.1012929142216
2021-10-11,21011.419262284835
2021-10-12,13883.290052142831
2021-10-13,13039.775634722257
2021-10-14,6229.947355879096
2021-10-15,12699.472374141133
2021-10-16,18796.767987275907
2021-10-17,20855.05273676641
2021-10-18,23789.34753276405
2021-10-19,30077.436289779325
2021-10-20,14700.22489937746
2021-10-21,12150.71746381688
2021-10-22,11290.438553864507
2021-10-23,19541.78426670588
2021-10-24,19624.47629667046
2021-10-25,21047.04577783086
2021-10-26,13020.376012383289
2021-10-27,13825.146851414438
2021-10-28,18268.611856830823
2021-10-29,14149.10109332521
2021-10-30,17497.147382819072
2021-10-31,11250.862613317253
2021-11-01,18982.979210286638
2021-11-02,18797.61496797844
2021-11-03,12084.989547392284
2021-11-04,15953.351855756533
2021-11-05,19540.574771324227
2021-11-06,20505.83682521654
2021-11-07,8459.213818181455
2021-11-08,14602.265555338481
2021-11-09,8986.276968850067
2021-11-10,12229.119968203011
2021-11-11,11800.677357410108
2021-11-12,10233.060085703695
2021-11-13,13489.157408340303
2021-11-14,14625.793580074964
2021-11-15,15502.834580539256
2021-11-16,22565.973402442287
2021-11-17,15981.683847965469
2021-11-18,22093.972812527234
2021-11-19,16135.603991366228
2021-11-20,14608.873282497496
2021-11-21,16630.316653628455
2021-11-22,10888.238409063655
2021-11-23,8858.092581846364
