,0
2021-05-25,29726.56737414954
2021-05-26,30998.94992070317
2021-05-27,30049.049921505284
2021-05-28,32093.741658058076
2021-05-29,30163.734940078608
2021-05-30,29742.712436758902
2021-05-31,29912.37929201807
2021-06-01,31581.37564088993
2021-06-02,30078.27540325222
2021-06-03,28189.489952537337
2021-06-04,30553.500145484308
2021-06-05,29548.369000832194
2021-06-06,29108.87777441264
2021-06-07,30183.66689229348
2021-06-08,30103.870625137875
2021-06-09,29268.222849963804
2021-06-10,29138.501832934628
2021-06-11,30903.512545192025
2021-06-12,29598.61514664047
2021-06-13,30559.729948516877
2021-06-14,30910.3947971716
2021-06-15,30571.757962932938
2021-06-16,29437.18844041355
2021-06-17,29570.56597913077
2021-06-18,30017.155599324393
2021-06-19,30525.613109941645
2021-06-20,31205.514366379233
2021-06-21,29314.611551758164
2021-06-22,30468.33708312405
2021-06-23,30230.538484586963
2021-06-24,32040.131998566416
2021-06-25,31720.929384669682
2021-06-26,29859.88314813672
2021-06-27,30548.090929688864
2021-06-28,30048.427819583198
2021-06-29,29542.667591152407
2021-06-30,29920.082013304218
2021-07-01,31255.8470799703
2021-07-02,29123.551325282253
2021-07-03,30783.660544123966
2021-07-04,30305.71585246926
2021-07-05,30887.71409667056
2021-07-06,29017.858796316563
2021-07-07,32088.971147824894
2021-07-08,29767.304527244538
2021-07-09,28604.8454673039
2021-07-10,29535.37208863152
2021-07-11,31555.825685139942
2021-07-12,29028.41349897074
2021-07-13,30303.237996485972
2021-07-14,29542.27113847054
2021-07-15,31577.90628638316
2021-07-16,30001.085977269347
2021-07-17,31416.649134841788
2021-07-18,31144.568931071117
2021-07-19,30931.93282091862
2021-07-20,27708.32491446472
2021-07-21,28842.55718679059
2021-07-22,30021.445182221527
2021-07-23,29829.470551997336
2021-07-24,28985.161518392608
2021-07-25,29356.682687263874
2021-07-26,33049.56984134214
2021-07-27,30835.161505412394
2021-07-28,31532.22795669733
2021-07-29,31114.462599249062
2021-07-30,30591.75831529851
2021-07-31,30827.875074805394
2021-08-01,30430.99508242071
2021-08-02,28482.310461599784
2021-08-03,29728.868598826764
2021-08-04,29471.401259339396
2021-08-05,29499.54595150856
2021-08-06,29378.987488055052
2021-08-07,29766.11214836713
2021-08-08,29172.87418008482
2021-08-09,29595.635458331937
2021-08-10,29598.78887017624
2021-08-11,30369.769203907694
2021-08-12,30293.228053255854
2021-08-13,29227.140670309007
2021-08-14,29928.270211533716
2021-08-15,30394.649369640352
2021-08-16,28846.511930694156
2021-08-17,29925.666488226936
2021-08-18,27295.680133785845
2021-08-19,27353.16506882101
2021-08-20,30075.235029511332
2021-08-21,29908.02299509661
2021-08-22,29676.955315111056
2021-08-23,29137.7707232059
2021-08-24,30209.06700403314
2021-08-25,31087.873158215523
2021-08-26,29172.33700692873
2021-08-27,29890.26908241036
2021-08-28,28022.230043066433
2021-08-29,29483.732526953314
2021-08-30,30034.31059353147
2021-08-31,28593.459415376954
2021-09-01,30907.382404152482
2021-09-02,29938.87068473887
2021-09-03,30382.344679974805
2021-09-04,30827.074099663878
2021-09-05,31286.250867893847
2021-09-06,32021.889350903766
2021-09-07,29109.378995983916
2021-09-08,30948.616417115343
2021-09-09,29726.569745028773
2021-09-10,29785.040844880506
2021-09-11,30554.507972790427
2021-09-12,28700.57619338469
2021-09-13,29462.516576358867
2021-09-14,30954.476580372364
2021-09-15,30635.33708527882
2021-09-16,30397.12326050297
2021-09-17,31073.553548631917
2021-09-18,30959.48875480764
2021-09-19,27612.925783269093
2021-09-20,29924.253811356466
2021-09-21,28670.088467034617
2021-09-22,30788.626937403988
2021-09-23,30022.715924871987
2021-09-24,28958.65909567871
2021-09-25,30541.234533566276
2021-09-26,28757.946586110913
2021-09-27,29642.617054589733
2021-09-28,29440.832349347227
2021-09-29,29185.474941290737
2021-09-30,31416.48691907563
2021-10-01,30017.00879614478
2021-10-02,30832.880479660074
2021-10-03,29259.129528043584
2021-10-04,31273.083557153248
2021-10-05,29180.529658377312
2021-10-06,30067.835682548735
2021-10-07,30734.03025554573
2021-10-08,30938.796927905572
2021-10-09,28201.812431643863
2021-10-10,31000.87767473139
2021-10-11,30521.98413338579
2021-10-12,32241.943465597586
2021-10-13,28435.86708816128
2021-10-14,28805.388160229853
2021-10-15,30957.044434179028
2021-10-16,29175.749929579593
2021-10-17,31545.498711278713
2021-10-18,28463.914165807422
2021-10-19,30197.2522616519
2021-10-20,29509.842238161018
2021-10-21,30263.53286042833
2021-10-22,30036.005269429737
2021-10-23,30614.889824438793
2021-10-24,28475.722114537613
2021-10-25,30182.89835799874
2021-10-26,29381.84521703605
2021-10-27,29400.565539349125
2021-10-28,28678.67768266369
2021-10-29,30141.556903482742
2021-10-30,28137.727607823268
2021-10-31,28831.855554001704
2021-11-01,29708.316761057085
2021-11-02,29550.658440539497
2021-11-03,29042.64011712677
2021-11-04,31038.68767415239
2021-11-05,29646.31903434878
2021-11-06,29699.202822322262
2021-11-07,29816.832405711823
2021-11-08,31581.352188795263
2021-11-09,29856.12272062797
2021-11-10,32078.11719733312
2021-11-11,30535.94038736816
2021-11-12,29173.606070168942
2021-11-13,30848.243282187752
2021-11-14,29295.210477966415
2021-11-15,30532.33704335718
2021-11-16,27511.38027120547
2021-11-17,30416.705127429505
2021-11-18,30701.543341840876
2021-11-19,28777.784162083444
2021-11-20,28499.09209373754
2021-11-21,30666.486305841365
2021-11-22,31514.082475744694
2021-11-23,29952.63544181306
